Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2024T4;171.254.763
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2024T3;151.147.763
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2024T2;176.143.368
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2024T1;167.000.050
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2023T4;171.106.677
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2023T3;157.015.241
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2023T2;164.271.897
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2023T1;161.347.533
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2022T4;158.563.216
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2022T3;127.617.979
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2022T2;134.844.605
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2022T1;120.568.177
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2021T4;122.040.885
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2021T3;99.936.977
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2021T2;100.546.963
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2021T1;81.866.730
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2020T4;85.389.907
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2020T3;77.545.397
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2020T2;35.047.500
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2020T1;131.494.510
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2019T4;165.980.376
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2019T3;139.321.325
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2019T2;160.348.073
Tipo de dato;Dato base;Total Nacional;Total Nacional;Unidades de medida;Viajeros;2019T1;161.457.841

